assessment_id,scope_item_id,N2O,CO2,CH4,Other,total
1,1,3,624,1,0,628
1,2,42,4565,2,0,4609
1,3,0,0,0,0,0
1,4,0,0,0,780,780
1,5,0,0,0,0,0
1,6,,,,,2170
1,7,,,,,
1,8,,,,,1855
1,9,,,,,13221
1,10,,,,,23536
1,11,,,,,99
1,12,,,,,1303
1,13,,,,,2127
1,16,,,,,5367
1,22,,,,,12423
"2,1,""0,02"",""786,13"",""0,04"",0,""786,19"""
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
"2,6,,,,,""516,26"""
2,7,,,,,
"2,8,,,,,""7,25"""
"2,13,,,,,""1156,84"""
3,1,0,787,0,12,799
3,2,0,25,0,0,25
3,3,0,0,0,0,0
3,4,0,0,0,0,0
3,5,0,0,0,0,0
3,6,,,,,382
3,7,,,,,
4,1,0,19686,0,0,19686
4,2,0,125,0,0,125
4,3,0,0,0,0,0
4,4,0,0,0,0,0
4,5,0,0,0,0,0
4,6,,,,,
4,7,,,,,
4,9,,,,,4385
4,10,,,,,7681
4,11,,,,,21699
4,12,,,,,609
4,13,,,,,14300
"5,1,0,""494,37"",0,0,""494,37"""
"5,2,0,""482,79"",0,0,""482,79"""
5,3,0,0,0,0,0
5,4,0,0,0,0,0
5,5,0,0,0,0,0
"5,6,,,,,""113,1"""
5,7,,,,,
"6,1,0,""1746,44"",0,0,""1746,44"""
"6,2,0,""1258,17"",0,0,""1258,17"""
6,3,0,0,0,0,0
"6,4,0,0,""76,38"",0,""76,38"""
6,5,0,0,0,0,0
"6,6,,,,,""1416,92"""
"6,7,,,,,""68,26"""
"6,8,,,,,""411,9"""
"6,9,,,,,""3312,86"""
"6,10,,,,,""1570,26"""
"6,11,,,,,""534,67"""
"6,16,,,,,""1038,5"""
"6,22,,,,,""654,13"""
7,1,1,17487,2,0,17490
7,2,0,312,0,0,312
7,3,0,0,0,0,0
7,4,0,0,0,0,0
7,5,0,0,0,0,0
7,6,,,,,409
7,7,,,,,22910
8,1,0,918,0,0,918
8,2,0,2586,0,0,2586
8,3,0,0,0,0,0
8,4,0,0,0,628,628
8,5,0,0,0,0,0
8,6,,,,,2432
8,7,,,,,
10,1,0,2095,0,0,2095
10,2,0,110,0,0,110
10,3,0,0,0,0,0
10,4,0,0,0,0,0
10,5,0,0,0,79,79
10,6,,,,,231
10,7,,,,,
10,8,,,,,165
10,9,,,,,286
10,10,,,,,285
10,11,,,,,29
10,13,,,,,46
10,16,,,,,9
10,22,,,,,407
10,23,,,,,3044
11,1,0,385,0,6,391
11,2,0,256,0,2,258
11,3,0,0,0,0,0
11,4,0,0,0,68,68
11,5,0,0,0,0,0
11,6,,,,,229
11,7,,,,,57
11,8,,,,,141
11,9,,,,,11276
11,10,,,,,1934
11,11,,,,,15
11,12,,,,,7
11,13,,,,,1200
11,14,,,,,1
11,16,,,,,672
11,17,,,,,54
11,18,,,,,1036
11,22,,,,,767
11,23,,,,,53654
"12,1,""0,0174"",430,""0,036"",0,""430,0534"""
"12,2,""0,0016"",53,""0,0031"",0,""53,0047"""
12,3,0,0,0,0,0
12,4,0,0,0,0,0
12,5,0,0,0,51,51
12,6,,,,,99
12,7,,,,,
13,1,1,358,0,0,359
13,2,1,108,0,0,109
13,3,0,0,0,414,414
13,4,0,0,0,0,0
13,5,0,0,0,0,0
13,6,,,,,36
13,7,,,,,
13,8,,,,,98
13,1,6,530,1,0,537
13,2,1,79,0,0,80
13,3,0,0,0,156,156
13,4,0,0,0,0,
13,5,0,0,0,0,
13,6,,,,,48
13,7,,,,,
13,8,,,,,139
"14,1,""0,007"",""6344,042"",""0,017"",0,""6344,066"""
"14,2,""0,362"",""11959,772"",""0,18"",0,""11960,314"""
"14,3,0,""1,016"",0,0,""1,016"""
14,4,0,0,0,0,0
"14,5,0,0,""389,755"",""9354,12"",""9743,875"""
"14,6,,,,,""313,904"""
14,7,,,,,
15,1,0,2480,0,0,2480
15,2,0,203,0,0,203
15,3,0,0,0,92,92
15,4,0,0,0,0,0
15,5,0,0,0,0,0
15,6,,,,,254
15,7,,,,,
15,8,,,,,579
"16,1,""0,001"",""31,667"",""0,003"",0,""31,671"""
"16,2,""0,292"",""9641,761"",""0,145"",0,""9642,198"""
"16,3,0,""0,575"",0,0,""0,575"""
16,4,0,0,0,0,0
16,5,0,0,0,0,0
"16,6,,,,,""173,16"""
16,7,,,,,
17,1,0,915,0,0,915
17,2,0,1346,0,0,1346
17,3,0,0,0,0,0
17,4,0,0,0,0,0
17,5,0,0,0,0,0
17,6,,,,,424
17,7,,,,,
17,8,,,,,645
17,9,,,,,520
17,10,,,,,6481
17,13,,,,,26
17,16,,,,,830
17,17,,,,,3
17,22,,,,,129
18,1,1,15660,2,0,15663
18,2,1,25309,1,0,25311
18,3,0,0,0,0,0
18,4,0,0,0,825,825
18,5,0,0,0,0,0
18,6,,,,,2792
18,7,,,,,
18,8,,,,,10046
18,9,,,,,13560
18,10,,,,,25373
18,11,,,,,2507
18,13,,,,,208
18,14,,,,,3
18,16,,,,,3450
18,18,,,,,50
18,22,,,,,19774
18,23,,,,,4555
"19,1,0,""4705,76"",0,0,""4705,76"""
19,2,0,2322,0,0,2322
19,3,0,0,0,0,0
19,4,0,0,0,0,0
19,5,0,0,0,0,0
19,6,,,,,787
19,7,,,,,
"19,8,,,,,""853,04"""
"19,9,,,,,""5706,17"""
19,10,,,,,13865
"19,12,,,,,""5,61"""
"19,17,,,,,""11,34"""
19,22,,,,,10419
20,1,0,6079,0,0,6079
20,2,0,12779,0,0,12779
20,3,0,0,0,0,0
20,4,0,0,0,0,0
20,5,0,0,0,0,0
20,6,,,,,798
20,7,,,,,2480
20,9,,,,,13043
20,10,,,,,4431
20,11,,,,,187
20,12,,,,,1193
20,13,,,,,896
20,16,,,,,2263
20,22,,,,,10642
20,1,0,5670,0,0,5670
20,2,0,12037,0,0,12037
20,3,0,0,0,0,
20,4,0,0,0,0,
20,5,0,0,0,0,
20,6,,,,,861
20,7,,,,,2911
20,9,,,,,12539
20,10,,,,,4930
20,11,,,,,213
20,12,,,,,855
20,13,,,,,575
20,16,,,,,1722
20,22,,,,,11181
23,1,0,8377,1,0,8378
23,2,0,2786,0,0,2786
23,3,0,0,0,0,0
23,4,0,0,0,0,0
23,5,0,0,0,0,0
23,6,,,,,902
23,7,,,,,231
23,8,,,,,2621
23,9,,,,,4768
23,10,,,,,15111
23,11,,,,,902
23,12,,,,,0
23,13,,,,,5259
23,14,,,,,0
23,15,,,,,0
23,16,,,,,0
23,17,,,,,0
23,18,,,,,0
23,19,,,,,0
23,20,,,,,0
23,21,,,,,0
23,22,,,,,535
23,23,,,,,11339
24,1,0,352,0,0,352
24,2,0,124,0,0,124
24,3,0,0,0,0,0
24,4,0,0,0,0,0
24,5,0,0,0,72,72
24,6,,,,,52
24,7,,,,,
24,8,,,,,260
25,1,44,1451,22,0,1517
25,2,0,0,0,16203,16203
25,3,0,759,0,0,759
25,4,0,270,0,0,270
25,5,5,154,7,0,166
25,6,,,,,538
25,7,,,,,
25,13,,,,,205
"27,1,""15,1"",""1430,6"",""89,1"",0,""1534,8"""
"27,2,""6,7"",""353,8"",""5,4"",0,""365,9"""
27,3,0,0,0,0,0
"27,4,0,0,0,""70,1"",""70,1"""
27,5,0,0,0,0,0
"27,6,,,,,""124,5"""
27,7,,,,,
27,1,11,1760,16,0,1787
"27,2,""0,5"",162,""0,3"",0,""162,8"""
27,3,0,0,0,0,
27,4,0,0,0,82,82
27,5,0,0,0,0,
27,6,,,,,139
27,7,,,,,
29,1,0,303,0,0,303
29,2,0,421,0,0,421
29,3,0,0,0,0,0
29,4,0,0,0,13,13
29,5,0,0,0,0,0
29,6,,,,,579
29,7,,,,,
29,8,,,,,311
29,13,,,,,24796
"30,1,""0,1"",2724,""0,2"",0,""2724,3"""
"30,2,""0,01"",292,""0,01"",0,""292,02"""
30,3,0,0,0,0,0
30,4,0,0,0,79,79
30,5,0,0,0,0,0
30,6,,,,,393
30,7,,,,,
31,1,0,339,1,20,360
31,2,0,0,0,0,0
31,3,0,0,0,0,0
31,4,0,0,0,0,0
31,5,0,0,0,0,0
31,6,,,,,1306
31,7,,,,,
31,9,,,,,156
31,10,,,,,137
31,11,,,,,60
31,12,,,,,51
31,13,,,,,1238
