id,organization_type,staff,population,reporting_year,total_scope_1,total_scope_2,total_scope_3
1,1,6848.0,,2011.0,6017.0,2170.0,59931.0
3,2,261.0,,2011.0,824.0,382.0,0.0
4,3,3000.0,94000.0,2010.0,19811.0,0.0,48674.0
7,2,557.0,,2011.0,17802.0,23319.0,0.0
8,1,2711.0,,2012.0,4132.0,2432.0,0.0
9,1,2732.0,,2011.0,,,
10,3,210.0,123476.0,2012.0,2284.0,231.0,4271.0
11,2,963.0,,2011.0,717.0,286.0,70757.0
13,2,250.0,,2018.0,882.0,36.0,98.0
15,2,250.0,,2011.0,2775.0,254.0,579.0
17,3,149.0,192000.0,2011.0,2261.0,424.0,8634.0
18,3,1887.0,1350683.0,2011.0,41799.0,2792.0,79526.0
20,3,2227.0,555999.0,2013.0,18858.0,3278.0,32655.0
23,3,2262.0,571675.0,2013.0,11164.0,1133.0,40535.0
24,2,450.0,,2011.0,548.0,52.0,260.0
25,1,4300.0,,2011.0,18915.0,538.0,205.0
29,1,1000.0,,2012.0,737.0,579.0,25107.0
31,1,3299.0,,2012.0,360.0,1306.0,5355.0
32,1,1823.0,,2012.0,0.0,177.0,4661.0
33,3,1800.0,380000.0,2011.0,12115.0,732.0,25654.0
34,3,1800.0,91000.0,2012.0,6395.0,2104.0,2306.0
35,2,1326.0,,2011.0,1831.0,80.0,493.0
36,1,579.0,,2011.0,2141.0,474.0,302.0
39,3,2393.0,119536.0,2013.0,5039.0,1119.0,20682.0
41,3,430.0,125000.0,2013.0,5968.0,494.0,325.0
42,3,122.0,57813.0,2012.0,557.0,69.0,915.0
43,3,119.0,64221.0,2012.0,2628.0,235.0,4369.0
44,3,461.0,283200.0,2011.0,18038.0,1089.0,6633.0
46,1,44.0,,2013.0,11.0,0.0,297.0
47,3,3400.0,1045146.0,2011.0,23219.0,4605.0,61268.0
48,3,2100.0,75500.0,2011.0,3279.0,1841.0,19195.0
50,3,4300.0,1215340.0,2012.0,11868.0,4307.0,59295.0
51,3,104.0,67055.0,2010.0,350.0,0.0,6850.0
52,3,280.0,69378.0,2009.0,1862.0,0.0,10896.0
53,3,400.0,271000.0,2009.0,2000.0,0.0,19576.0
54,3,2500.0,725794.0,2011.0,20100.0,0.0,64800.0
55,3,250.0,240000.0,2011.0,8024.0,5629.0,4398.0
56,3,6500.0,1500000.0,2011.0,41373.0,1705.0,175284.0
70,3,8200.0,2600000.0,2011.0,56979.0,4854.0,115475.0
72,3,800.0,263901.0,2012.0,7003.0,199.0,95987.0
77,1,2575.0,,2014.0,6296.0,2358.0,0.0
82,1,1673.0,,2014.0,614.0,1203.0,3733.0
83,3,5000.0,833000.0,2011.0,14747.0,30177.0,74982.0
91,1,263.0,,2014.0,274.0,21.0,233.0
92,1,1800.0,,2014.0,62521.0,598.0,913.0
96,1,1300.0,,2014.0,2963.0,414.0,0.0
97,3,3200.0,628733.0,2011.0,19469.0,1139.0,69400.0
99,3,197.0,75000.0,2012.0,2287.0,673.0,14619.0
106,1,1100.0,,2011.0,10481.0,111.0,0.0
108,1,894.0,,2014.0,28300.0,6196.0,29389.0
110,1,3000.0,,2013.0,26837.0,8112.0,34793.0
111,1,3000.0,,2012.0,28536.0,8291.0,35804.0
112,2,751.0,,2014.0,1948.0,2049.0,17882.0
113,1,578.0,,2014.0,,,
114,1,2740.0,,2014.0,1229.0,789.0,26454.0
123,1,5860.0,,2014.0,2547.0,2164.0,143298.0
132,2,2975.0,,2015.0,663.0,4460.0,11898.0
133,1,1185.0,,2014.0,78.0,256.0,0.0
134,2,2375.0,,2012.0,2588.0,426.0,5893.0
139,2,274.0,,2014.0,253.0,32.0,88.0
140,1,1100.0,,2014.0,405.0,431.0,3806.0
141,1,1142.0,,2014.0,22443.0,247.0,0.0
144,2,1840.0,,2014.0,,,
148,1,645.0,,2014.0,,,
149,1,7555.0,,2014.0,719000.0,175400.0,0.0
153,1,20000.0,,2014.0,119452.0,11783.0,37900.0
154,1,600.0,,2014.0,6776.0,31198.0,0.0
156,1,11182.0,,2014.0,4149496.0,11053.0,0.0
158,1,1100.0,,2014.0,3285.0,2458.0,0.0
160,1,850.0,,2015.0,1689.0,214.0,0.0
162,1,2516.0,,2015.0,3328.0,2067.0,0.0
163,1,508.0,,2014.0,1569.0,514.0,35060.0
164,1,2457.0,,2014.0,1374.0,821.0,22785.0
166,1,777.0,,2013.0,,,
167,1,1541.0,,2015.0,6720.0,2166.0,3045564.0
171,1,152900.0,,2014.0,10234177.0,835651.0,0.0
173,1,783.0,,2014.0,,,
174,1,4234.0,,2014.0,29362.0,1504.0,0.0
175,1,29107.0,,2014.0,167510.0,30486.0,0.0
176,1,2107.0,,2014.0,22388.0,2199.0,0.0
178,1,678.0,,2014.0,,,
179,1,2180.0,,2014.0,27843.0,2256.0,0.0
180,1,531.0,,2014.0,2639.0,1146.0,0.0
181,1,3055.0,,2014.0,5660.0,1626.0,120787.0
182,1,7531.0,,2014.0,13426.0,1436.0,0.0
187,1,1204.0,,2014.0,13349.0,261.0,0.0
188,1,1634.0,,2014.0,10725.0,5785.0,0.0
190,1,800.0,,2015.0,478.0,453.0,18475.0
191,1,14512.0,,2014.0,10645.0,3905.0,10983.0
193,1,4478.0,,2016.0,52074.0,6068.0,66065.0
194,1,2787.0,,2014.0,1767.0,1253.0,16298.0
195,1,474.0,,2014.0,656.0,209.0,3484.0
196,1,6316.0,,2014.0,16054.0,370.0,0.0
202,1,2224.0,,2014.0,1267.0,1165.0,14769.0
206,1,700.0,,2014.0,852527.0,6779.0,0.0
207,1,1179.0,,2014.0,1670.0,1042.0,0.0
208,1,1757.0,,2014.0,1637.0,570.0,18409.0
210,1,9500.0,,2014.0,34841.0,8830.0,0.0
211,1,1235.0,,2014.0,2066.0,374.0,95444.0
212,1,2500.0,,2014.0,320.0,170.0,30.0
214,1,660.0,,2014.0,2594.0,624.0,0.0
215,1,2720.0,,2014.0,,,
220,1,2774.0,,2014.0,871.0,1855.0,10485.0
221,2,3500.0,,2014.0,,,
222,1,1302.0,,2014.0,472.0,293.0,204.0
223,1,1180.0,,2014.0,578.0,375.0,9174.0
226,1,1285.0,,2014.0,5150.0,390.0,4758.0
227,1,3943.0,,2014.0,39252.0,7889.0,0.0
228,1,1978.0,,2014.0,7889.0,1851.0,27662.0
238,1,650.0,,2015.0,1549.0,437.0,0.0
240,1,750.0,,2015.0,2657.0,1809.0,0.0
242,1,629.0,,2014.0,2353.0,572.0,0.0
243,1,1650.0,,2015.0,2710.0,256.0,1168.0
244,1,638.0,,2014.0,,,
245,1,2977.0,,2018.0,4361.0,275.0,0.0
246,1,1592.0,,2014.0,209520.0,12318.0,0.0
247,1,644.0,,2015.0,681.0,38.0,0.0
248,3,7250.0,1463000.0,2013.0,,,
250,1,685.0,,2014.0,9231.0,712.0,2318.0
252,1,484.0,,2014.0,,,
256,2,365.0,,2014.0,263.0,0.0,77.0
257,1,1013.0,,2014.0,49576.0,6696.0,9570.0
258,2,350.0,,2011.0,509.0,51.0,92.0
263,2,713.0,,2014.0,975.0,170.0,0.0
264,1,9267.0,,2014.0,44455.0,71354.0,0.0
268,2,3000.0,,2010.0,5708.0,924.0,0.0
269,2,3100.0,,2014.0,4593.0,397.0,854.0
270,1,506.0,,2014.0,360.0,54.0,93.0
271,2,2073.0,,2011.0,0.0,0.0,0.0
272,1,3875.0,,2014.0,25722.0,4494.0,0.0
273,1,1159.0,,2014.0,3480.0,446.0,0.0
275,1,536.0,,2014.0,0.0,203.0,0.0
283,1,519.0,,2014.0,56.0,141.0,0.0
284,1,804.0,,2014.0,9085.0,100.0,12639.0
286,1,637.0,,2014.0,2779.0,1021.0,0.0
289,3,3513.0,174728.0,2014.0,11150.0,4839.0,0.0
291,1,1508.0,,2014.0,851.0,215.0,238.0
292,2,1100.0,,2013.0,4772.0,106.0,1776.0
293,2,400.0,,2014.0,2424.0,1442.0,771.0
294,1,14800.0,,2014.0,220.0,542.0,1239.0
295,1,870.0,,2014.0,1272.0,222.0,0.0
304,1,1450.0,,2014.0,1863.0,454.0,0.0
306,1,5612.0,,2014.0,1103.0,162.0,0.0
312,3,1000.0,270000.0,2015.0,12424.0,291.0,77959.0
317,2,10212.0,,2014.0,,,
321,2,1300.0,,2014.0,,,
323,2,344.0,,2014.0,,,
324,2,561.0,,2014.0,44.0,41.0,0.0
325,2,633.0,,2014.0,,,
327,2,7233.0,,2014.0,,,
328,2,1390.0,,2014.0,2346.0,71.0,0.0
329,1,2018.0,,2014.0,,,
331,1,618.0,,2014.0,1244.0,1738.0,28802.0
333,1,4750.0,,2014.0,,,
334,1,3733.0,,2015.0,9527.0,3245.0,27913.0
335,1,2760.0,,2014.0,248957.0,1157.0,0.0
337,1,1090.0,,2015.0,2188.0,1037.0,98886.0
338,3,772.0,106000.0,2013.0,3535.0,2101.0,23183.0
340,2,789.0,,2014.0,1213.0,51.0,285.0
341,1,500.0,,2014.0,74.0,177.0,4827.0
346,1,3300.0,,2014.0,25271.0,919.0,118196.0
347,1,646.0,,2014.0,,,
348,1,551.0,,2014.0,,,
352,3,960.0,62000.0,2014.0,2013.0,635.0,0.0
354,1,25.0,,2014.0,3223.0,365.0,71628.0
355,3,1473.0,195489.0,2014.0,4010.0,660.0,167.0
356,1,1370.0,,2014.0,,,
357,3,823.0,280169.0,2014.0,12686.0,2506.0,37067.0
358,1,655.0,,2014.0,,,
359,1,626.0,,2014.0,,,
361,1,1639.0,,2014.0,198016.0,7385.0,0.0
363,3,1300.0,60000.0,2014.0,3985.0,13030.0,27389.0
364,1,560.0,,2011.0,158357.0,71099.0,0.0
366,2,2490.0,,2014.0,10612.0,80956.0,25007.0
373,1,13000.0,,2014.0,6956.0,10542.0,15676.0
374,1,910.0,,2014.0,1612.0,1021.0,3130.0
375,1,773.0,,2014.0,53682.0,2817.0,20551.0
377,1,1168.0,,2014.0,13321.0,3813.0,0.0
381,1,783.0,,2013.0,1824.0,528.0,1045.0
383,1,1429.0,,2014.0,,,
385,1,3019.0,,2014.0,,,
386,1,925.0,,2014.0,,,
387,1,1125.0,,2014.0,4775.0,136.0,0.0
388,1,667.0,,2013.0,,,
402,1,789.0,,2015.0,2763.0,836.0,613.0
403,1,1621.0,,2014.0,,,
404,1,501.0,,2013.0,,,
407,1,783.0,,2014.0,1724.0,1100.0,688.0
409,1,527.0,,2016.0,904.0,285.0,0.0
412,1,893.0,,2015.0,,,
414,1,1913.0,,2014.0,226384.0,28926.0,0.0
415,1,765.0,,2011.0,1190.0,836.0,308.0
416,3,3428.0,2346000.0,2014.0,42395.0,19447.0,115870.0
418,2,298.0,,2014.0,,,
419,1,677.0,,2015.0,,,
420,1,564.0,,2015.0,,,
421,1,865.0,,2015.0,,,
422,1,849.0,,2015.0,,,
424,1,1000.0,,2014.0,6583.0,1417.0,0.0
427,1,1200.0,,2014.0,1072.0,529.0,0.0
428,1,486.0,,2014.0,525.0,724.0,0.0
429,1,2250.0,,2014.0,3802.0,3389.0,0.0
430,3,2913.0,154463.0,2014.0,12566.0,2519.0,4071.0
431,2,492.0,,2014.0,1319.0,753.0,350.0
433,1,709.0,,2014.0,83696.0,14778.0,0.0
434,1,1176.0,,2014.0,2561.0,89.0,868.0
436,1,454.0,,2016.0,104.0,1030.0,310.0
438,1,528.0,,2014.0,1293.0,321.0,0.0
439,3,789.0,153000.0,2013.0,1730.0,447.0,0.0
441,1,800.0,,2014.0,733.0,808.0,0.0
444,1,710.0,,2016.0,74.0,494.0,0.0
451,1,590.0,,2015.0,2039.0,291.0,598.0
452,1,1848.0,,2015.0,1829.0,405.0,0.0
453,1,3066.0,,2015.0,27823.0,9615.0,8190.0
454,1,2150.0,,2014.0,1465.0,1024.0,22099.0
455,1,815.0,,2014.0,1724.0,91.0,129192.0
457,1,2571.0,,2015.0,30.0,0.0,3018.0
460,1,2200.0,,2014.0,,,
462,1,5931.0,,2015.0,8158.0,4610.0,308325.0
463,1,618.0,,2015.0,251.0,80.0,1186.0
464,1,630.0,,2014.0,,,
467,1,450.0,,2015.0,646.0,136.0,0.0
469,2,949.0,,2015.0,,,
471,1,918.0,,2015.0,,,
473,4,868.0,,2014.0,3083.0,433.0,18754.0
474,3,1765.0,277740.0,2011.0,6184.0,363.0,14475.0
475,1,1241.0,,2016.0,1366.0,204.0,0.0
485,1,877.0,,2015.0,4238.0,1762.0,0.0
487,1,554.0,,2014.0,296.0,295.0,5337.0
488,1,495.0,,2014.0,887.0,260.0,6251.0
490,1,24000.0,,2014.0,,,
491,1,722.0,,2014.0,,,
494,3,253.0,79529.0,2013.0,1940.0,158.0,7191.0
497,2,1626.0,,2014.0,1178.0,621.0,0.0
499,1,585.0,,2014.0,45555.0,222.0,10196303.0
500,2,469.0,,2015.0,543.0,318.0,0.0
503,2,748.0,,2014.0,,,
507,2,3271.0,,2014.0,8093.0,1099.0,0.0
508,2,420.0,,2015.0,,,
510,1,1682.0,,2014.0,74472.0,22069.0,0.0
511,1,522.0,,2015.0,,,
512,1,755.0,,2015.0,0.0,0.0,0.0
513,5,1200.0,,2014.0,2611.0,289.0,0.0
514,1,1275.0,,2014.0,,,
516,1,650.0,,2015.0,829.0,345.0,0.0
522,1,1190.0,,2015.0,4111.0,841.0,0.0
525,1,752.0,,2014.0,22289.0,63.0,0.0
526,1,1100.0,,2015.0,3414.0,1376.0,1610405.0
528,1,500.0,,2014.0,27.0,269.0,0.0
529,1,4000.0,,2014.0,1243.0,2015.0,0.0
530,1,5000.0,,2014.0,2550.0,3812.0,0.0
531,1,1000.0,,2014.0,4195.0,670.0,0.0
532,1,500.0,,2014.0,259.0,297.0,0.0
533,1,500.0,,2014.0,1948.0,768.0,0.0
535,2,256.0,,2014.0,791.0,276.0,253.0
538,3,1463.0,61000.0,2014.0,16540.0,2058.0,9450.0
539,2,332.0,,2014.0,0.0,0.0,0.0
540,2,1579.0,,2015.0,,,
542,2,1260.0,,2015.0,,,
544,2,5600.0,,2015.0,,,
552,1,1358.0,,2014.0,,,
553,1,580.0,,2018.0,2029.0,253.0,0.0
554,1,530.0,,2014.0,,,
561,1,11260.0,,2014.0,4708613.0,1028784.0,0.0
562,2,800.0,,2015.0,1261.0,190.0,0.0
564,1,2503.0,,2014.0,,,
568,1,1078.0,,2014.0,,,
569,1,911.0,,2014.0,,,
570,1,13000.0,,2015.0,4527.0,11186.0,15774.0
571,1,460.0,,2014.0,,,
572,1,1479.0,,2014.0,,,
573,1,1121.0,,2014.0,,,
574,1,763.0,,2014.0,4882.0,364.0,0.0
575,1,884.0,,2014.0,,,
576,1,1513.0,,2014.0,,,
577,1,1523.0,,2014.0,14315.0,13488.0,0.0
578,1,1123.0,,2014.0,,,
579,1,730.0,,2014.0,,,
580,1,1446.0,,2014.0,,,
581,1,2154.0,,2014.0,,,
585,1,1280.0,,2014.0,,,
588,1,595.0,,2015.0,,,
589,1,548.0,,2015.0,348.0,421.0,0.0
590,1,1581.0,,2015.0,,,
594,2,3509.0,,2014.0,7799.0,1128.0,0.0
596,1,2000.0,,2015.0,1829.0,149.0,685.0
598,1,3368.0,,2014.0,66685.0,679.0,17581.0
600,1,1000.0,,2015.0,,,
601,1,3000.0,,2015.0,7548.0,1060.0,0.0
605,1,652.0,,2015.0,,,
613,1,2858.0,,2014.0,1243.0,1659.0,756.0
614,1,8450.0,,2015.0,,,
617,1,2000.0,,2014.0,5193.0,969.0,1392.0
619,1,1053.0,,2014.0,3568.0,225.0,897.0
621,1,8672.0,,2014.0,,,
622,1,10000.0,,2014.0,,,
623,1,10000.0,,2013.0,,,
624,1,10000.0,,2012.0,6812.0,6894.0,0.0
625,1,10000.0,,2011.0,,,
627,1,668.0,,2015.0,409.0,280.0,3404.0
630,3,2500.0,429681.0,2018.0,8378.0,644.0,0.0
633,2,1400.0,,2015.0,3449.0,542.0,717.0
636,1,1756.0,,2014.0,4561.0,364.0,0.0
637,2,551.0,,2015.0,,,
638,1,306.0,,2016.0,,,
639,1,3640.0,,2014.0,4117.0,4191.0,0.0
644,1,432.0,,2020.0,30719.0,41624.0,0.0
645,2,306.0,,2014.0,8112.0,719.0,1868.0
647,1,1968.0,,2014.0,7278.0,10186.0,0.0
648,1,750.0,,2014.0,231.0,179.0,8668.0
